Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 38060,63.2,9.2,20.1
ZCTA5 38061,40.8,19.3,20.9
ZCTA5 38063,44.6,14.1,31.4
ZCTA5 38066,57.7,9.3,27.8
ZCTA5 38067,49,9.5,29.5
ZCTA5 38068,50.8,11.7,27.9
ZCTA5 38069,41,16.9,30.9
ZCTA5 38070,48.7,11.3,21.7
ZCTA5 38075,32.1,16,44.4
ZCTA5 38076,59.5,7.7,24.8
ZCTA5 38077,38.7,25.5,0
ZCTA5 38079,27.9,16.4,45.1
ZCTA5 38080,53,14.7,21.4
ZCTA5 38103,28.6,10.1,56.5
ZCTA5 38104,25,16.5,49.2
ZCTA5 38105,15.7,14.3,57.4
ZCTA5 38106,17.7,11.5,53.7
ZCTA5 38107,20.1,13.7,50.9
ZCTA5 38108,25.2,12.8,47.7
ZCTA5 38109,25.8,13,46.4
ZCTA5 38111,29.1,11,49.6
ZCTA5 38112,27.9,9.6,53.5
ZCTA5 38114,17.8,13.2,55.6
ZCTA5 38115,22.6,12,55.1
ZCTA5 38116,29.2,10.3,50.8
ZCTA5 38117,51.9,11.5,27.8
ZCTA5 38118,28.2,10.4,53
ZCTA5 38119,42.7,11.9,36.9
ZCTA5 38120,65.8,7.3,21.2
ZCTA5 38122,36.8,15.9,37.8
ZCTA5 38125,44,13.5,36.2
ZCTA5 38126,9.1,5.8,67.5
ZCTA5 38127,25.5,8.6,55.4
ZCTA5 38128,28.8,11.3,48.9
ZCTA5 38131,-,-,-
ZCTA5 38132,-,-,-
ZCTA5 38133,55,7.9,29.5
ZCTA5 38134,33.4,12.5,44.7
ZCTA5 38135,55.2,11.5,27.1
ZCTA5 38138,66.4,8.5,17.8
ZCTA5 38139,72.8,6,17.1
ZCTA5 38141,36.9,12.2,44
ZCTA5 38152,0,0,100
ZCTA5 38201,48.8,11.5,28
ZCTA5 38220,57.4,12.3,21.7
ZCTA5 38221,55,16.7,14.8
ZCTA5 38222,58.8,17.3,14.9
ZCTA5 38224,62.9,9.1,23.4
ZCTA5 38225,55.7,13.7,21.2
ZCTA5 38226,60.8,10.1,6.5
ZCTA5 38229,61.3,9.2,19.8
ZCTA5 38230,47.9,16.6,21.4
ZCTA5 38231,53.9,15.4,20.8
ZCTA5 38232,66.8,9.1,13.7
ZCTA5 38233,52.3,13.8,20
ZCTA5 38235,54.2,15.8,20.1
ZCTA5 38236,52.6,19.7,8.7
ZCTA5 38237,39.6,8.6,44.5
ZCTA5 38240,49.2,14.9,27.2
ZCTA5 38241,63.4,15.9,17.5
ZCTA5 38242,51.4,13.8,23.8
ZCTA5 38251,53,11.6,24
ZCTA5 38253,54.3,13.5,22.9
ZCTA5 38254,66.1,12.5,16.1
ZCTA5 38255,52.9,11.7,22
ZCTA5 38256,63.9,13.2,11.1
ZCTA5 38257,49.1,15.5,25.3
ZCTA5 38258,50.7,13.7,25.9
ZCTA5 38259,65.7,10.3,17.7
ZCTA5 38260,55.1,11.5,21.9
ZCTA5 38261,49.3,14.8,26.2
ZCTA5 38301,31.9,15.9,40.4
ZCTA5 38305,50.9,11.3,31.4
ZCTA5 38310,53.2,16.3,20.3
ZCTA5 38311,79.6,11.2,4.1
ZCTA5 38313,55.9,13.3,24.1
ZCTA5 38315,52,14.4,22.4
ZCTA5 38316,57.6,8.2,25.1
ZCTA5 38317,50.9,16,19.3
ZCTA5 38318,45,34.1,12.8
ZCTA5 38320,48,16.3,23.2
ZCTA5 38321,63,9.7,21.9
ZCTA5 38326,56.8,17,13.7
ZCTA5 38327,44,16.2,25.4
ZCTA5 38328,43.7,22.7,20.3
ZCTA5 38329,60.4,12.4,17.4
ZCTA5 38330,50.4,13.2,22.8
ZCTA5 38332,65.4,10,11.8
ZCTA5 38333,59.5,21.7,14.1
ZCTA5 38334,53.3,12.1,23.7
ZCTA5 38337,49.9,15,27.4
ZCTA5 38339,49.6,24,13.6
ZCTA5 38340,46.3,10.5,34
ZCTA5 38341,43.5,17.4,30.4
ZCTA5 38342,51.7,13,23.5
ZCTA5 38343,50.7,11.2,25.3
ZCTA5 38344,54.6,13.1,23.6
ZCTA5 38345,62,11.8,20.7
ZCTA5 38347,87,13,0
ZCTA5 38348,52,16.4,26.8
ZCTA5 38351,51.6,13.6,23.1
ZCTA5 38352,45.9,14.1,34.7
ZCTA5 38355,56.5,14.9,24.6
ZCTA5 38356,49.3,13.8,25.5
ZCTA5 38357,59.1,12.7,14.7
ZCTA5 38358,49.8,13.5,24.5
ZCTA5 38359,53.4,20.9,9
ZCTA5 38361,56.6,11.7,18.5
ZCTA5 38362,68.1,5.4,23.8
ZCTA5 38363,49.5,12.5,24.5
ZCTA5 38365,53.1,0,46.9
ZCTA5 38366,64.1,9.7,19.5
ZCTA5 38367,53.4,11.3,25
ZCTA5 38368,57.1,11.9,22.1
ZCTA5 38369,49.7,12.2,28.7
ZCTA5 38370,53.4,13,25.4
ZCTA5 38371,54.5,13.6,20.3
ZCTA5 38372,53.2,14.3,20.9
ZCTA5 38374,47.1,25.9,19.7
ZCTA5 38375,44.2,16.8,29
ZCTA5 38376,44.2,14,25.2
ZCTA5 38379,63.6,8.1,15.8
ZCTA5 38380,59.2,16,16.4
ZCTA5 38381,44,14.2,28.8
ZCTA5 38382,45,14.7,28.1
ZCTA5 38387,69.3,15.3,4
ZCTA5 38388,47.7,12.8,31.3
ZCTA5 38390,49.7,17.5,25.5
ZCTA5 38391,56.9,8.2,30.8
ZCTA5 38392,73.4,8.5,14.3
ZCTA5 38401,50.3,14.2,26.6
ZCTA5 38425,35.6,17.8,36.4
ZCTA5 38449,50.7,10.4,26
ZCTA5 38450,53.9,14,24.3
ZCTA5 38451,53.1,13.6,22.8
ZCTA5 38452,58.9,11.6,20.7
ZCTA5 38453,61.9,3.2,31.2
ZCTA5 38454,65.7,6.3,23.2
ZCTA5 38455,45.9,14.3,22.4
ZCTA5 38456,49.7,10.8,31.6
ZCTA5 38457,57.5,11.6,22.6
ZCTA5 38459,50.7,12.1,34.6
ZCTA5 38460,49.1,7.4,30
ZCTA5 38461,62.7,10.2,18.6
ZCTA5 38462,59,11.8,21.6
ZCTA5 38463,58.8,12.7,21
ZCTA5 38464,53.4,15.8,20.3
ZCTA5 38468,56.5,10.1,22.1
ZCTA5 38469,56.4,11.8,23.1
ZCTA5 38471,47.5,15.2,25.3
ZCTA5 38472,56.8,11.2,18.4
ZCTA5 38473,61.1,11.2,20.6
ZCTA5 38474,48.2,11.8,30.7
ZCTA5 38475,60.5,3.9,30.8
ZCTA5 38476,56,13.2,26.2
ZCTA5 38477,56.8,14.5,17.8
ZCTA5 38478,50.5,12.9,25.3
ZCTA5 38481,59.5,9.9,17.4
ZCTA5 38482,60.5,10.4,20.2
ZCTA5 38483,57.6,12.8,21.1
ZCTA5 38485,52.2,15,21.2
ZCTA5 38486,59.8,13.9,17.4
ZCTA5 38487,55.9,12.8,28.9
ZCTA5 38488,64.2,8.5,17.9
ZCTA5 38501,41.7,14.4,34.9
ZCTA5 38504,78.7,2.5,11.3
ZCTA5 38505,0,0,100
ZCTA5 38506,56.7,12.3,23.1
ZCTA5 38541,63.2,14,13.5
ZCTA5 38542,100,0,0
ZCTA5 38543,75,6.8,11.3
ZCTA5 38544,63.1,12.6,16.4
ZCTA5 38545,51,17.6,27.1
ZCTA5 38547,70,9.9,13.6
ZCTA5 38548,54.4,7.2,30.7
ZCTA5 38549,60,11.1,16.7
ZCTA5 38551,49.9,20.1,18.5
ZCTA5 38552,66.7,9.7,8.8
ZCTA5 38553,64.1,13.3,18.2
ZCTA5 38554,65.1,10.3,12.4
ZCTA5 38555,49.7,14.6,22.3
ZCTA5 38556,53.8,12.3,22.7
ZCTA5 38558,74.2,7.9,6.9
ZCTA5 38559,65.6,8.5,17.5
ZCTA5 38560,54.2,13.2,17.1
ZCTA5 38562,45.8,16.3,22.8
ZCTA5 38563,60.5,15.1,17
ZCTA5 38564,54.3,5.9,17.3
ZCTA5 38565,61.6,14.3,18.8
ZCTA5 38567,50.3,25.4,17.8
ZCTA5 38568,59.1,15.4,17.6
ZCTA5 38569,64.7,17.9,17.3
ZCTA5 38570,55.7,13.2,20.4
ZCTA5 38571,54.7,14.9,19.5
ZCTA5 38572,60.3,12.9,17.9
ZCTA5 38573,64.7,12.9,17.1
ZCTA5 38574,58.5,12.6,18.2
ZCTA5 38575,74,10.2,12.7
ZCTA5 38577,68.4,18.4,11.3
ZCTA5 38578,50,6.1,4.9
ZCTA5 38579,57.7,29.1,2.6
ZCTA5 38580,49.5,23.4,24
ZCTA5 38581,55.9,11.1,20.1
ZCTA5 38582,62.6,11.6,20.7
ZCTA5 38583,54,14.8,21.5
ZCTA5 38585,54.3,13,18.9
ZCTA5 38587,49.9,16.9,22
ZCTA5 38588,42.8,12.6,32.4
ZCTA5 38589,81.7,0,14.8
ZCTA5 38601,52.8,6.9,33.5
ZCTA5 38603,58.6,14.3,16.9
ZCTA5 38606,42.1,12.7,34.3
ZCTA5 38610,56.1,7.9,30.1
ZCTA5 38611,50.3,10.6,28.5
ZCTA5 38614,32.7,7.8,44.2
ZCTA5 38617,27.6,4.8,55.2
ZCTA5 38618,44.3,11.9,30.6
ZCTA5 38619,38.1,12.3,34.2
ZCTA5 38620,49.8,12.6,25.4
ZCTA5 38621,38.8,6.8,45
ZCTA5 38622,26.7,9.2,49.7
ZCTA5 38623,38.7,6,46.5
ZCTA5 38625,60.3,11.7,17.2
ZCTA5 38626,38.8,18.9,21.9
ZCTA5 38627,51.1,18.5,19.5
ZCTA5 38629,55.9,7.3,28.4
ZCTA5 38630,0,10.8,84.2
ZCTA5 38631,23.7,13,53.2
ZCTA5 38632,57.3,11.2,23.3
ZCTA5 38633,44.2,14.8,32.5
ZCTA5 38635,38.3,8.6,44.3
ZCTA5 38637,42.1,13.9,36.5
ZCTA5 38639,21.8,5,62.7
ZCTA5 38641,57.6,6.4,26.3
ZCTA5 38642,46.6,8.8,31.4
ZCTA5 38643,28.7,11.8,40.2
ZCTA5 38644,26.2,26.7,29.2
ZCTA5 38645,39.4,13,35.1
ZCTA5 38646,38.8,7,39.7
ZCTA5 38647,42.9,0,52.3
ZCTA5 38650,52.3,10.8,29.7
ZCTA5 38651,56.6,9.4,26.5
ZCTA5 38652,49.1,10.7,29.1
ZCTA5 38654,55.6,12.1,26.2
ZCTA5 38655,39.3,10.7,43.7
ZCTA5 38658,55.8,9,25.7
ZCTA5 38659,39,11.6,40.6
ZCTA5 38661,57.4,5.7,26.6
ZCTA5 38663,56.8,9.9,24.9
ZCTA5 38664,36.8,11,49
ZCTA5 38665,47.2,15.8,28.6
ZCTA5 38666,42.3,12.5,32.6
ZCTA5 38668,40.4,10.4,41.1
ZCTA5 38670,24.2,7.9,51.6
ZCTA5 38671,42.4,13.3,34
ZCTA5 38672,66,10.6,18.1
ZCTA5 38673,58.6,7.7,29.4
ZCTA5 38674,72.2,5.7,22.1
ZCTA5 38676,37.4,10,43.2
ZCTA5 38677,0,0.7,99
ZCTA5 38680,47.3,13.8,32.8
ZCTA5 38683,42.9,18.4,25.3
ZCTA5 38685,56.6,12.4,23.1
ZCTA5 38701,34.5,13.5,39.9
ZCTA5 38702,-,-,-
ZCTA5 38703,30.5,10.8,46.3
ZCTA5 38704,-,-,-
ZCTA5 38720,49.7,13,14.7
ZCTA5 38721,45.4,10.2,36.8
ZCTA5 38722,24.6,9.2,53.5
ZCTA5 38723,100,0,0
ZCTA5 38725,35.3,5.5,49.7
ZCTA5 38726,23.5,7.8,53.9
ZCTA5 38730,50.6,11.5,26.2
ZCTA5 38731,44.3,7.7,47.9
ZCTA5 38732,35.6,10.2,43.2
ZCTA5 38736,29.6,7.3,45.3
ZCTA5 38737,31.5,8.6,44.2
ZCTA5 38738,12.6,16.1,61.3
ZCTA5 38740,28,14.8,43.2
ZCTA5 38744,33.2,16,38.8
ZCTA5 38745,26.6,15.2,54.4
ZCTA5 38746,13.7,15.9,59.5
ZCTA5 38748,36.2,12.1,37.8
ZCTA5 38749,16.7,29.2,25
ZCTA5 38751,30.5,8.1,47.5
ZCTA5 38753,45.5,8.7,31.8
ZCTA5 38754,33.1,3.7,42.8
ZCTA5 38756,37.3,12.3,40.8
ZCTA5 38759,51.9,13.4,29.4
ZCTA5 38760,16.9,8.5,53.9
ZCTA5 38761,21.8,7.2,56.7
ZCTA5 38762,18.1,13.6,51.4
ZCTA5 38764,32.6,6.9,38.9
ZCTA5 38765,58.4,0,10.4
ZCTA5 38767,72.2,5.1,22.8
ZCTA5 38768,25,0,75
ZCTA5 38769,17.1,10.4,57.1
ZCTA5 38771,25.1,14.4,47.1
ZCTA5 38772,28.4,6.2,38.3
ZCTA5 38773,34.3,11.9,40.2
ZCTA5 38774,23.9,10.5,51.5
ZCTA5 38778,33.7,6,44.8
ZCTA5 38781,22.2,7.8,44.4
ZCTA5 38801,43.9,14,32.2
ZCTA5 38804,45.8,14.7,31.3
ZCTA5 38821,52.4,10.9,25.7
ZCTA5 38824,43.2,20.4,24.6
ZCTA5 38826,53.9,16,22.7
ZCTA5 38827,60.8,9.8,20.6
ZCTA5 38828,57.6,8.5,25.2
ZCTA5 38829,48.9,12.2,28.4
ZCTA5 38833,42.5,18.1,22.8
ZCTA5 38834,49.6,14.4,25.7
ZCTA5 38838,36.2,15.6,32.2
ZCTA5 38841,45.3,9.8,28.7
ZCTA5 38843,47,12,30
ZCTA5 38844,39.6,34,13.2
ZCTA5 38846,59.7,10.5,21.9
ZCTA5 38847,55.8,15.5,18.7
ZCTA5 38848,66.9,4.6,12.4
ZCTA5 38849,53.8,12.6,25.6
ZCTA5 38850,50.3,13.2,30.2
ZCTA5 38851,47.7,9.6,33.4
ZCTA5 38852,58.9,12.7,17.8
ZCTA5 38855,55.9,13.1,21
ZCTA5 38856,68.4,9.5,12.9
ZCTA5 38857,52.5,16.2,21.2
ZCTA5 38858,53.7,11.9,26.6
ZCTA5 38859,56.9,9.4,27.1
ZCTA5 38860,34.7,9.6,42.4
ZCTA5 38862,56.4,12.7,20.2
ZCTA5 38863,48.5,14.2,28.4
ZCTA5 38864,65.8,7.8,21.5
ZCTA5 38865,57.8,12.4,21.3
ZCTA5 38866,62.2,14,19.8
ZCTA5 38868,49.2,10.4,31.3
ZCTA5 38869,46.4,10.1,34.9
ZCTA5 38870,51.6,16.9,26.4
ZCTA5 38871,53,12.6,24.6
ZCTA5 38873,56.1,10.4,23.3
ZCTA5 38876,50.2,9,22.1
ZCTA5 38878,45.6,15.2,29.4
ZCTA5 38879,34.5,26.4,38.4
ZCTA5 38901,39.4,12,34
ZCTA5 38913,53.3,16.5,21
ZCTA5 38914,39,15.9,36.9
ZCTA5 38915,45.6,13.3,26.8
ZCTA5 38916,45.1,12.2,27.8
ZCTA5 38917,54.3,9.8,22
ZCTA5 38920,33.5,17,29.5
ZCTA5 38921,38.2,14.9,32.8
ZCTA5 38922,53.2,13.5,24.4
ZCTA5 38923,40.2,15.7,39.1
ZCTA5 38924,38.7,8.3,36.5
ZCTA5 38925,54.9,11,22.9
ZCTA5 38927,55.5,8,29.7
ZCTA5 38928,15.5,5.4,71.3
ZCTA5 38929,31.7,24.3,19.4
ZCTA5 38930,30.8,10.3,45.8
ZCTA5 38940,48,15.1,23.5
ZCTA5 38941,19.1,4.2,65.8
ZCTA5 38943,100,0,0
ZCTA5 38944,62.4,19.8,13.1
ZCTA5 38945,25.6,59,15.4
ZCTA5 38946,22.4,7,66.2
ZCTA5 38947,55.2,23.9,15.5
ZCTA5 38948,42.1,15.4,32.8
ZCTA5 38949,50.6,6.1,25.6
ZCTA5 38950,28.8,13.6,34.2
ZCTA5 38951,46.8,16.3,18.3
ZCTA5 38952,40.8,2.6,42.5
ZCTA5 38953,67.7,11.1,17.3
ZCTA5 38954,39.9,3.8,44.9
ZCTA5 38957,19.1,15.6,41.9
ZCTA5 38958,-,-,-
ZCTA5 38961,47.6,0,38.7
ZCTA5 38962,66.4,0,11.2
ZCTA5 38963,17.6,11,62.5
ZCTA5 38964,68.4,5.3,26.3
ZCTA5 38965,50.8,13.1,23.8
ZCTA5 38966,20,6.7,46.1
ZCTA5 38967,47.8,13.6,28
ZCTA5 39038,26.7,9.3,46.9
ZCTA5 39039,52.9,8.4,24.8
ZCTA5 39040,49.4,13.2,29.5
ZCTA5 39041,46.5,9.5,33.3
ZCTA5 39042,57.1,11.2,23.7
ZCTA5 39044,50.7,17.9,22.6
ZCTA5 39045,26.6,12.2,41.4
ZCTA5 39046,41.5,10.1,39.5
ZCTA5 39047,63.5,9.2,21.2
ZCTA5 39051,43.5,12.2,33
ZCTA5 39054,28.6,1.2,53.5
ZCTA5 39056,48.6,11.5,31.4
ZCTA5 39057,44.2,13.4,28.6
ZCTA5 39059,44,10.1,32.3
ZCTA5 39061,-,-,-
ZCTA5 39062,35,17.9,21.7
ZCTA5 39063,21.9,11.5,51.9
ZCTA5 39066,44.8,5.5,39.8
ZCTA5 39067,43.8,16.5,26.5
ZCTA5 39069,19.6,8.8,54.3
ZCTA5 39071,50.8,13.2,29.6
ZCTA5 39073,57,11.4,22.7
ZCTA5 39074,33.5,15,38.8
ZCTA5 39078,45.3,13.8,26.3
ZCTA5 39079,25.6,2.5,59.1
ZCTA5 39082,66.6,1.3,26.2
ZCTA5 39083,35.5,13.3,37.4
ZCTA5 39086,32.7,7.4,50.2
ZCTA5 39088,55.6,0,11.1
ZCTA5 39090,46.3,12.5,29.4
ZCTA5 39092,51.4,8.6,22.5
ZCTA5 39094,50.2,9,23.4
ZCTA5 39095,22.3,7.2,52.6
ZCTA5 39096,29.7,7.5,58.4
ZCTA5 39097,10.9,17.9,54.7
ZCTA5 39108,42.7,11.6,30.3
ZCTA5 39110,69.4,6.4,19.2
ZCTA5 39111,39.3,14.4,33.2
ZCTA5 39113,20.6,6.4,58.2
ZCTA5 39114,43.5,17.3,24.8
ZCTA5 39115,0,0,0
ZCTA5 39116,62.2,5.1,25.5
ZCTA5 39117,50,9.2,28.2
ZCTA5 39119,41.4,12.4,31.9
ZCTA5 39120,37.5,12,38.8
ZCTA5 39140,68.5,7,18.6
ZCTA5 39144,29.2,7.1,53.6
ZCTA5 39145,55.9,13.3,20.9
ZCTA5 39146,29.8,9.1,49.4
ZCTA5 39149,55.7,3.2,38.7
ZCTA5 39150,29.4,8.2,46.8
ZCTA5 39152,57.9,15.8,9.1
ZCTA5 39153,57.8,8.2,23.3
ZCTA5 39154,49.4,7.6,35.5
ZCTA5 39156,79.1,13.2,7.7
ZCTA5 39157,45.6,11.8,35.4
ZCTA5 39159,38.7,6.2,42.1
ZCTA5 39160,42.4,7.8,33.4
ZCTA5 39162,0,0,46.4
ZCTA5 39166,30,5.6,41.1
ZCTA5 39167,-,-,-
ZCTA5 39168,49.1,10,26
ZCTA5 39169,15.9,6.9,63.4
ZCTA5 39170,55.4,9,27.8
ZCTA5 39174,6.5,0,92.3
ZCTA5 39175,45.2,10.7,33
ZCTA5 39176,41.8,10.1,37.2
ZCTA5 39177,94,6,0
ZCTA5 39179,32,3.7,51.1
ZCTA5 39180,42.9,11.1,36.7
ZCTA5 39183,49.9,8.8,32.5
ZCTA5 39189,39.5,16.3,37.1
ZCTA5 39191,51.4,7.4,32
ZCTA5 39192,46.2,10.4,32.2
ZCTA5 39193,7.6,15.1,57.3
ZCTA5 39194,26.9,11.1,50.1
ZCTA5 39201,3.6,20.3,70.6
ZCTA5 39202,24.6,9.3,58.6
ZCTA5 39203,15.6,11.7,62.7
ZCTA5 39204,23.1,11.8,54.8
ZCTA5 39206,26,14.1,47.7
ZCTA5 39208,40.1,15.8,35.5
ZCTA5 39209,25.8,11.2,50.8
ZCTA5 39211,44.4,10.5,37.7
ZCTA5 39212,34.5,10.9,45.8
ZCTA5 39213,27,13.4,43.9
ZCTA5 39216,30.9,14.7,42.8
ZCTA5 39217,0,0,100
ZCTA5 39218,53.5,13,27.2
ZCTA5 39232,51.8,18,24.7
ZCTA5 39269,-,-,-
ZCTA5 39272,48.7,10.9,35.6
ZCTA5 39301,43.2,12.7,32.2
ZCTA5 39305,52.2,13,25.4
ZCTA5 39307,34,14.1,41.6
ZCTA5 39309,2.8,0,97.2
ZCTA5 39320,59.4,12.9,21.8
ZCTA5 39322,53.4,5.6,36.6
ZCTA5 39323,68.5,11.6,14.7
ZCTA5 39325,52.5,8.7,27.3
ZCTA5 39326,19.1,39.5,29
ZCTA5 39327,49,5.6,35.7
ZCTA5 39328,39.1,14.4,38.2
ZCTA5 39330,54.9,14.6,23.5
ZCTA5 39332,55.9,7.1,27.8
ZCTA5 39335,47.9,9.3,31.5
ZCTA5 39336,45.2,9,32.5
ZCTA5 39337,68.9,11.4,14.9
ZCTA5 39338,44.7,10.6,36
ZCTA5 39339,45.8,10.5,32.3
ZCTA5 39341,37.1,6.6,44.5
ZCTA5 39342,29.5,15.5,43
ZCTA5 39345,46,12.6,30.1
ZCTA5 39346,51,11,28.2
ZCTA5 39347,45.9,7.6,28.7
ZCTA5 39348,38,23,36.3
ZCTA5 39350,41.9,13.9,33.3
ZCTA5 39352,80.2,3.6,9.9
ZCTA5 39354,41.3,12.9,28
ZCTA5 39355,51.3,10.9,25.8
ZCTA5 39356,65.7,6.3,22.9
ZCTA5 39358,16.7,11.1,55.9
ZCTA5 39359,49.2,6.3,34.7
ZCTA5 39360,50.9,14.9,24.1
ZCTA5 39361,41.6,16.2,31.2
ZCTA5 39362,41.9,7.9,34
ZCTA5 39363,44.9,11.4,29.4
ZCTA5 39364,32.9,13.3,45.7
ZCTA5 39365,49.2,13.8,26.5
ZCTA5 39366,60.1,6.7,25.4
ZCTA5 39367,49.4,12,29.6
ZCTA5 39401,30.2,11.9,47.7
ZCTA5 39402,49.3,9.4,33.3
ZCTA5 39406,0.5,0,99.5
ZCTA5 39421,35.9,11.9,35.3
ZCTA5 39422,53.9,7.5,30.9
ZCTA5 39423,45.9,10.9,31.5
ZCTA5 39425,40.1,15.5,31.1
ZCTA5 39426,56.3,11.7,22.6
ZCTA5 39427,56.2,11.4,23.9
ZCTA5 39428,47.3,8.9,31.3
ZCTA5 39429,50.5,9.5,28.4
ZCTA5 39437,51.6,9.4,28.9
ZCTA5 39439,51.7,10.5,25.7
ZCTA5 39440,32.9,14.6,37.5
ZCTA5 39443,52.1,13.1,25.1
ZCTA5 39451,36.5,14.1,39.2
ZCTA5 39452,49.9,14.5,27.6
ZCTA5 39455,51,15,21.7
ZCTA5 39456,59.1,9.1,20.4
ZCTA5 39459,54.6,8,27.9
ZCTA5 39461,65.2,3.6,2.6
ZCTA5 39462,44.9,11,35
ZCTA5 39464,79.5,3.1,13.2
ZCTA5 39465,56.5,12.1,24.4
ZCTA5 39466,54,12.4,23.1
ZCTA5 39470,48.2,12,29.1
ZCTA5 39474,30.6,16.7,36.2
ZCTA5 39475,53.2,13.5,25.4
ZCTA5 39476,55.5,10.3,23.8
ZCTA5 39477,58.5,12.6,19.7
ZCTA5 39478,39.9,10.7,35.8
ZCTA5 39479,52.9,11,27.5
ZCTA5 39480,61,14.5,19.2
ZCTA5 39481,65.8,6.8,20.7
ZCTA5 39482,59.7,8.5,21.8
ZCTA5 39483,53,11.4,23.4
ZCTA5 39501,26.1,14.7,45
ZCTA5 39503,47.3,14.4,31.1
ZCTA5 39507,43.7,17.1,29.6
ZCTA5 39520,42.5,18.5,27.4
ZCTA5 39525,65.5,8,19.2
ZCTA5 39530,32.4,18.6,40.9
ZCTA5 39531,44,14.2,33.6
ZCTA5 39532,53.1,12.2,27.7
ZCTA5 39534,10.7,1.8,87.5
ZCTA5 39540,45,16.8,33.1
ZCTA5 39553,45.2,13.4,31.8
ZCTA5 39556,53.4,9.1,28.1
ZCTA5 39560,49,15,27.5
ZCTA5 39561,51.8,16.2,24.9
ZCTA5 39562,57.3,11.6,22.3
ZCTA5 39563,35.7,12.9,37.1
ZCTA5 39564,47.2,15.2,28
ZCTA5 39565,56.7,9.5,26.6
ZCTA5 39567,38.4,13.6,36.3
ZCTA5 39571,50.3,13.8,28.1
ZCTA5 39572,46.4,16.5,22.8
ZCTA5 39573,58.4,10.7,22.3
ZCTA5 39574,56.5,11.8,25.3
ZCTA5 39576,36.5,19.5,29.3
ZCTA5 39577,46.4,11.6,31.8
ZCTA5 39581,37.8,14.5,39.3
ZCTA5 39601,46.5,11,32.9
ZCTA5 39629,53.1,8,27.4
ZCTA5 39630,31.1,15.9,43
ZCTA5 39631,29.6,9.1,44.9
ZCTA5 39633,27.1,9.4,45.5
ZCTA5 39635,40.4,0,42.6
ZCTA5 39638,37.2,16.8,31.7
ZCTA5 39641,61,14.3,16.4
ZCTA5 39643,46.6,18.7,31.3
ZCTA5 39645,48.6,7.8,27.6
ZCTA5 39647,76,4.7,17.3
ZCTA5 39648,44.2,11.6,31.1
ZCTA5 39652,34.9,13.4,39.2
ZCTA5 39653,57.7,12.1,21.7
ZCTA5 39654,48.3,11.8,26.3
ZCTA5 39656,48.3,7.5,31.8
ZCTA5 39657,44.9,10.9,28.6
ZCTA5 39661,51.1,11.7,30
ZCTA5 39662,59,16.9,12.9
ZCTA5 39663,46,8.8,36.6
ZCTA5 39664,66.6,7.6,12.8
ZCTA5 39665,53.6,9.2,24.2
ZCTA5 39666,46.3,9.3,34.5
ZCTA5 39667,46.2,9.8,29.4
ZCTA5 39668,39.5,5.6,47.6
ZCTA5 39669,29.2,5.5,55.2
ZCTA5 39701,30.8,12.2,42.4
ZCTA5 39702,44.7,9.3,33.6
ZCTA5 39705,50.1,10.4,30.4
ZCTA5 39730,44.5,10.2,33.5
ZCTA5 39735,44.8,10.8,29.9
ZCTA5 39736,20.1,15.1,50.3
ZCTA5 39737,28.3,0,40.4
ZCTA5 39739,40.3,5.3,38.9
ZCTA5 39740,67.2,10.1,18.4
ZCTA5 39741,43.3,17,29.7
ZCTA5 39743,40.3,7.5,42.1
ZCTA5 39744,44.8,11,30.5
ZCTA5 39745,54,2.5,32.7
ZCTA5 39746,45,10.6,33
ZCTA5 39747,52,9.3,21.9
ZCTA5 39750,49.8,12.1,27.4
ZCTA5 39751,58.1,9.8,21.8
ZCTA5 39752,64.9,8.2,15
ZCTA5 39755,45.7,14,26.6
ZCTA5 39756,28.9,15.3,40.8
ZCTA5 39759,34.7,6.7,52.7
ZCTA5 39760,0,0,0
ZCTA5 39762,0,0.6,99.4
ZCTA5 39766,59.2,9.6,24.2
ZCTA5 39767,58.7,14.7,10.9
ZCTA5 39769,43.2,9.3,29.6
ZCTA5 39771,70.5,5.1,14.1
ZCTA5 39772,39.2,16.8,33.6
ZCTA5 39773,42.6,11.6,35.9
ZCTA5 39776,57.2,9.8,23.5
ZCTA5 39813,40.8,10.4,35.3
ZCTA5 39815,41.3,6,40.2
ZCTA5 39817,35.2,12.8,42.8
ZCTA5 39819,48.1,10.5,27.2
ZCTA5 39823,40.5,9.2,36.2
ZCTA5 39824,45.1,2.5,28.5
ZCTA5 39825,49,18.6,22
ZCTA5 39826,36.1,11.1,31.9
ZCTA5 39827,46.2,19.2,27.1
ZCTA5 39828,49.3,9.8,29.5
ZCTA5 39834,59.8,8.5,18.3
ZCTA5 39836,50.9,8.9,40.2
ZCTA5 39837,51.7,11.3,25.1
ZCTA5 39840,29.3,12.9,39.3
ZCTA5 39841,31.9,17.2,32.2
ZCTA5 39842,37.1,11,39.8
ZCTA5 39845,42.3,12.1,32.9
ZCTA5 39846,43.4,16.1,23.7
ZCTA5 39851,31.8,8.5,39.1
ZCTA5 39854,41.7,12.3,27
ZCTA5 39859,51.8,11.6,21.4
ZCTA5 39861,39.7,18,29.5
ZCTA5 39862,59.4,7.5,19
ZCTA5 39866,24.5,15.5,54
