Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 01245,56.9,11.7,26.3
ZCTA5 01247,38.9,15.9,35.8
ZCTA5 01253,60.8,14,18.7
ZCTA5 01254,64.7,9.9,17.5
ZCTA5 01255,50.7,13.8,25
ZCTA5 01256,48.3,11.3,33.6
ZCTA5 01257,43.8,18.2,27.7
ZCTA5 01258,48.3,18.5,22.8
ZCTA5 01259,58.5,16.8,19.6
ZCTA5 01260,21.4,23.8,47.3
ZCTA5 01262,38.2,10.5,40.5
ZCTA5 01264,49.7,9.1,35.3
ZCTA5 01266,54.3,14.7,23.5
ZCTA5 01267,36.5,7.7,48.5
ZCTA5 01270,62.3,10.1,22.5
ZCTA5 01301,43.4,12.9,35.3
ZCTA5 01330,52.9,12.4,27.4
ZCTA5 01331,45.7,12.8,34.5
ZCTA5 01337,57.8,14,19.8
ZCTA5 01338,57.1,18.2,20.8
ZCTA5 01339,53.8,11.8,24.2
ZCTA5 01340,52.7,15.9,25
ZCTA5 01341,59,11.1,25.5
ZCTA5 01342,57.3,13.6,21.9
ZCTA5 01343,93.5,0,0
ZCTA5 01344,54.8,12.9,26.1
ZCTA5 01346,58.4,9.6,25.4
ZCTA5 01347,10.1,5,63.9
ZCTA5 01349,32.4,7.6,40.9
ZCTA5 01350,42.1,18.4,21.1
ZCTA5 01351,49.9,10.8,30.4
ZCTA5 01354,63.2,8.2,23.2
ZCTA5 01355,55.7,13.3,23.3
ZCTA5 01360,47,15.3,29.6
ZCTA5 01364,52.7,12.2,27
ZCTA5 01366,50,10.5,32.5
ZCTA5 01367,46.1,16.7,33.7
ZCTA5 01368,60.1,8.1,21.8
ZCTA5 01370,48.8,13.1,30.1
ZCTA5 01373,52.4,12.4,27
ZCTA5 01375,39.8,12.1,42.9
ZCTA5 01376,37.8,15.8,37.5
ZCTA5 01378,58.8,13.6,22.6
ZCTA5 01379,49.9,22.1,24.5
ZCTA5 01420,39.6,10.8,41.5
ZCTA5 01430,60.2,10.1,26.7
ZCTA5 01431,56.3,8.9,28.1
ZCTA5 01432,42.8,18.1,33.5
ZCTA5 01434,19.5,23.8,51.4
ZCTA5 01436,50.5,11.9,26.3
ZCTA5 01438,61.3,10.7,28
ZCTA5 01440,40.8,13.5,36.3
ZCTA5 01450,63.4,7,24.9
ZCTA5 01451,64.9,6.6,23
ZCTA5 01452,59.6,8.4,26.4
ZCTA5 01453,46.5,12.5,31.3
ZCTA5 01460,56.9,8,27.1
ZCTA5 01462,55.1,13.2,24.3
ZCTA5 01463,54.7,11.7,26.4
ZCTA5 01464,42.2,12.7,39.3
ZCTA5 01467,50.5,13.9,35.5
ZCTA5 01468,57.1,6.8,27.5
ZCTA5 01469,62.2,9.4,23.8
ZCTA5 01473,58.6,10.6,24
ZCTA5 01474,52,12.7,27.8
ZCTA5 01475,54.1,11.4,28.5
ZCTA5 01501,53,11.2,26.7
ZCTA5 01503,58.3,11.5,23.8
ZCTA5 01504,56.6,10,26.7
ZCTA5 01505,60.6,7.1,26.3
ZCTA5 01506,55.1,10.8,27.8
ZCTA5 01507,56.2,8.1,27.7
ZCTA5 01510,47.6,9.9,34.7
ZCTA5 01515,55.3,7.8,30.5
ZCTA5 01516,56.9,9,29.2
ZCTA5 01518,58,13.2,21.2
ZCTA5 01519,61,7.4,25.3
ZCTA5 01520,59.1,8.1,26.9
ZCTA5 01521,59.5,7.8,26.3
ZCTA5 01522,61.1,11.3,23.6
ZCTA5 01523,45.4,7.7,42
ZCTA5 01524,49.3,9.5,37.1
ZCTA5 01525,21,59.9,11.7
ZCTA5 01527,51.7,12.3,28.2
ZCTA5 01529,54.9,11.5,26.2
