Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
11973,-,**,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,100.0,11.9,0,88.1
11975,104714,44180,-,10903,-,105625,157917,0.0,0.0,15.6,10.1,27.6,29.1,46.1,6.3,37
11976,230374,46524,-,-,24974,51316,120759,0.7,2.2,12.2,4.6,30.8,26.4,58,5.4,22.5
11977,148134,25013,22250,60156,60446,82778,77083,4.7,1.7,14.8,8.9,21.8,24.8,55.4,10.6,20.7
11978,135298,16868,26484,38882,49250,41042,84191,0.6,2.8,15.1,8.3,24.0,21.0,53.5,12,26.7
11980,108700,9909,25547,50801,50395,55139,83897,2.9,6.2,18.2,10.1,15.9,12.4,46.3,12.5,37.5
12007,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12008,113869,26041,-,-,-,-,94750,0.3,6.6,9.8,10.7,25.1,30.8,58.5,16.3,15.8
12009,112663,8958,52917,43289,47763,47425,75329,1.2,2.8,17.3,14.6,18.9,24.4,56.9,9.4,28.6
12010,64923,3283,19231,33382,38444,41792,62318,5.3,9.2,20.6,13.4,11.0,7.7,43.8,11.1,34.7
12015,73820,7263,65052,32375,40951,67917,43733,1.8,6.8,16.6,11.6,10.5,15.1,45.2,7.3,33.3
12017,92831,23044,-,37045,-,-,78750,0.0,3.4,13.4,7.6,25.4,15.1,63.1,9.7,21.8
12018,106484,12374,-,43815,47813,65129,63969,2.6,4.3,17.2,20.6,16.6,14.1,60,10.1,23.4
12019,113837,5796,32566,48125,48690,68966,82529,0.8,2.4,14.1,14.1,23.4,25.2,62.1,7.7,23.2
12020,91808,4667,27386,32333,41049,61626,72094,1.4,4.3,18.1,12.1,23.5,14.4,54.1,11.2,28.5
12022,62351,14813,-,53125,36071,41125,78750,1.9,6.8,18.1,13.9,8.1,23.9,51.9,11.1,15.8
12023,84309,6207,25341,29526,32417,54757,57292,1.4,7.8,19.9,7.8,16.2,13.8,62.2,7.9,25.2
12024,-,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12025,78345,7648,-,36375,37917,54511,59909,2.0,2.3,21.3,18.8,13.5,7.0,54.2,11.5,24.5
12027,114914,11519,-,36250,44625,69018,66290,0.4,1.0,9.1,12.8,36.4,21.7,60.2,9.9,24.3
12028,88944,18212,-,40164,35000,61625,66125,5.1,1.7,12.8,11.6,12.7,9.3,61.8,8,22.9
12029,107980,18716,-,28833,35000,51250,78000,5.9,7.2,14.0,6.2,17.2,26.4,49.6,7.9,36.2
12031,46526,15405,-,30536,-,-,-,0.0,6.4,8.5,17.7,17.7,4.3,45.6,5.6,38.8
12032,64003,8166,-,24000,26705,27109,40714,1.3,6.9,23.4,6.7,10.9,12.2,66,10.3,15.1
12033,104342,17608,34389,31694,47212,62601,74375,1.1,5.5,23.0,13.6,17.8,14.2,56.3,7.9,27
12035,53706,11391,26842,36563,21597,-,-,4.2,13.3,13.9,6.6,6.2,6.4,43.8,9.8,37.8
12036,49629,14502,-,37740,25000,-,-,10.7,5.4,9.8,3.9,8.3,8.3,32.9,11,44.3
12037,81928,8150,-,25047,41250,55170,53571,1.8,6.3,20.3,8.1,14.6,18.6,49.8,15.7,26.5
12040,41817,22616,-,-,-,-,-,0.0,14.1,17.4,0.0,5.4,3.3,81.2,12.8,6
12041,82558,15378,-,47232,29792,-,50909,0.0,8.8,7.6,10.9,1.9,15.7,57.6,9.6,32.9
12042,56742,17784,-,-,28684,-,-,0.0,0.0,21.4,23.0,7.5,13.4,62.2,20.7,17.1
12043,63944,5848,14375,24280,40857,42321,62188,3.9,7.2,15.0,13.8,15.7,10.7,37.5,11.9,42
12045,55735,8489,-,-,41250,-,-,2.6,10.7,23.1,22.8,3.5,0.0,53.6,16.4,24.8
12046,90004,14575,-,52969,70517,56058,-,7.1,2.0,18.8,12.2,22.8,4.2,45.4,15.6,33
12047,68428,4047,28417,29840,36919,52238,68000,2.9,8.2,17.0,11.7,17.2,10.3,42,11.1,37.8
12051,76933,8412,-,34345,42307,68705,80938,7.0,24.7,12.5,8.5,9.1,6.1,34,7.6,50.7
12052,79759,10671,37000,42863,41200,41786,58125,0.7,4.5,13.5,15.6,17.9,10.3,43.3,13,33.4
12053,96782,7515,40450,36972,56437,45819,60417,1.3,6.0,16.0,17.0,13.9,10.6,52.4,8.5,34.4
12054,125375,8733,29286,32098,41845,56982,74073,1.7,0.9,9.4,10.0,29.6,38.1,57.1,8,26.8
12056,97255,11826,-,22717,41672,-,57500,1.0,5.0,16.4,9.5,21.1,14.2,59,4.8,32.6
12057,66008,7932,30263,31611,27406,54030,41346,2.7,4.7,17.3,17.6,9.1,4.2,55.2,12.5,26.5
12058,80354,8678,49722,37467,37917,84167,63542,0.0,4.6,10.5,22.3,12.4,9.7,68.7,3.7,23.3
12059,94543,8163,-,38688,47500,57054,76406,0.0,3.6,12.6,16.3,18.2,14.0,57.9,7.9,28
12060,101311,20136,"2,500-",40000,25029,49063,59375,1.0,1.3,22.5,13.3,16.1,25.3,59.6,8.1,25.9
12061,106531,8640,53636,41455,42194,71645,78487,1.5,2.3,18.7,9.7,22.6,23.5,56.8,9.1,24.1
12062,81454,9333,-,37471,50909,51667,75417,1.4,3.1,15.1,15.0,8.7,11.8,58.8,6.7,23.1
12063,99633,48745,-,-,31811,-,-,0.0,0.0,24.0,13.7,23.7,24.0,66.5,8.3,19.4
12064,48825,10748,-,47083,-,-,-,2.7,15.4,10.7,10.4,9.2,5.0,48.2,25.1,8
12065,103386,3413,24648,33739,46431,67164,75180,1.5,2.9,17.3,10.8,28.8,22.1,55.5,10.4,27.6
12066,78292,10069,30735,41750,36250,62500,47083,0.3,5.7,25.8,14.2,10.5,5.7,53.3,10.5,27.3
12067,83209,10314,-,40066,30208,55104,60188,0.0,2.8,22.1,8.1,12.3,17.6,55.6,7.3,28.6
12068,71402,15737,22610,27273,38816,42386,83750,1.5,10.4,19.1,14.5,11.1,8.0,45.2,11.5,30.1
12069,35927,14683,-,-,-,-,-,0.0,4.7,5.9,49.4,0.0,7.1,43.2,12.7,37.3
12070,92319,25127,29625,35469,33750,58500,58854,1.4,9.2,14.9,21.7,10.9,12.8,47.4,7.5,32.2
12071,69890,20738,-,33750,52875,73750,-,12.8,3.4,17.9,23.0,13.6,0.0,46.1,3.2,30.7
12072,65362,11406,19750,31492,27708,40417,46667,5.7,10.5,16.9,14.0,11.7,4.8,47,11,34.1
12074,86332,9969,21667,33194,34421,62143,102832,1.3,6.7,18.2,10.3,20.5,12.4,60.1,9,24.1
12075,72799,9828,21504,23611,35568,35330,71524,7.5,2.2,14.8,14.1,17.8,13.1,46.8,10,34.4
12076,63559,4988,20769,35750,25398,31477,45556,2.2,7.5,20.5,10.2,8.2,9.2,52,13.2,27.7
12077,133068,13219,-,46731,46118,70852,79508,1.5,2.4,15.0,8.8,21.7,32.5,55,8.4,30.4
12078,54274,2860,20607,30167,32455,41452,60776,3.9,12.1,21.3,11.3,7.4,7.6,43.3,12.1,31.2
12083,81598,7956,-,46250,42344,54427,52125,2.3,6.3,17.9,15.7,14.5,7.9,54.6,6.8,29.1
12084,90712,11672,-,40577,50204,51069,72833,0.7,1.5,12.6,12.1,25.4,32.0,45.3,8.1,38.1
12085,46736,8770,-,36250,35938,31188,-,1.8,0.0,29.6,16.1,17.9,2.1,23.9,8.6,33.3
12086,66201,9240,-,45673,31168,55625,-,2.6,2.9,23.1,20.1,12.8,10.7,49.9,14.8,26.2
12087,69384,12601,-,31250,34444,-,129219,0.0,4.2,16.3,17.0,2.5,3.5,54.3,11,27.8
12089,85374,18038,-,-,-,-,-,6.6,0.0,0.0,42.6,50.8,0.0,0,24.6,75.4
12090,63223,4892,36563,27838,36942,54107,70417,0.9,4.6,21.9,12.0,18.3,3.8,42.8,10.2,34.6
12092,56142,15791,-,53306,37656,30294,-,0.0,5.0,14.3,8.0,11.1,5.0,40.2,12.5,24.8
12093,61450,7255,25865,32708,35446,38750,68125,2.8,14.2,20.6,9.1,9.4,8.2,52.1,10.3,27.1
12094,85325,10411,-,50236,49271,57823,64229,0.9,6.2,10.7,25.2,14.2,10.0,61.6,6.5,21.6
12095,67931,6967,30462,26467,38710,36880,59432,2.9,9.1,17.0,14.5,13.5,9.2,51.9,10.8,27.9
12106,96172,11407,-,37394,48125,46250,72414,0.7,3.1,10.5,15.4,24.6,20.7,56,12.8,21.5
12108,64769,15979,-,64844,-,-,-,2.2,2.7,18.8,24.7,12.9,8.1,76.3,4.2,14
12110,91838,5100,18934,27982,50355,59161,72713,2.1,3.6,14.6,14.6,21.7,19.3,44.2,8.1,41
12115,98056,31595,-,-,-,-,-,0.0,0.0,38.5,0.0,32.3,23.1,33.3,0,59.7
12116,58409,6996,9107,21399,30521,44318,49375,1.6,7.6,19.3,10.7,12.0,7.6,54.1,12.3,23.3
12117,65442,6437,30655,26168,34183,54583,60938,1.4,8.0,21.6,16.7,10.4,8.0,58.4,8.6,23.4
12118,87484,6525,20300,31364,41794,62823,80094,2.0,4.5,18.5,12.7,20.8,11.6,52.7,11.4,27.5
12120,76634,14525,"2,500-",40978,41761,61250,72857,0.6,8.8,8.1,14.0,6.5,12.7,51.9,11.1,29.2
12121,86984,11417,-,36875,50714,37308,65833,0.0,4.3,17.1,16.8,11.8,8.2,64.7,7.6,20
12122,58196,5444,-,31000,31942,38162,47308,2.5,10.4,19.6,12.2,10.7,8.1,45.2,11.9,32.7
12123,92606,7862,20529,38866,51223,71154,79507,0.9,5.1,19.2,13.0,16.5,10.1,53.3,8.6,30.3
12124,110883,46904,-,-,19784,-,-,16.3,10.1,13.3,5.8,15.0,8.0,71,0,24.4
12125,79789,16141,34231,35288,46711,46012,-,4.5,9.4,20.3,4.7,18.1,10.9,41.5,13.3,36.9
12130,93319,28725,-,56250,-,44637,48889,0.0,0.0,28.5,13.8,22.3,13.2,54.8,3,29.3
12131,65456,24616,-,31250,33250,-,-,12.5,2.5,22.5,5.0,3.8,11.3,45.3,14.7,31.6
12132,54149,17068,-,-,25968,-,-,9.4,0.0,23.7,25.4,0.0,8.9,63.1,0,36.9
12134,64573,4310,-,25729,32535,52750,-,1.4,5.9,20.2,17.5,9.5,10.8,46,9,35.7
12136,123538,31613,-,31042,-,43077,-,1.1,2.5,4.1,12.1,22.4,36.9,75.3,6.4,13.9
12137,71825,11815,28750,17254,34149,51400,-,1.3,9.1,20.1,9.1,9.3,11.0,50,9.2,35.3
12138,71179,6139,-,38672,44904,50714,34583,3.5,7.2,21.5,9.6,13.4,13.1,53.3,14.1,23.9
12139,71227,16168,110833,"2,500-",49167,-,52917,0.0,8.4,5.5,4.0,5.1,4.0,20.8,1.7,73.5
12140,93351,10986,-,42083,55559,75000,76500,2.0,5.2,25.0,19.9,10.5,14.7,52.2,12.7,24.6
12143,66515,6014,40982,35446,37375,52384,61534,1.1,9.3,11.8,10.7,14.2,8.1,50.3,9.7,31
12144,78220,3999,29238,35288,37611,52457,72247,2.6,5.0,16.2,15.0,18.7,15.0,45.7,10.7,33.4
12147,86429,14036,-,38173,31528,83750,78750,0.0,4.4,4.9,16.6,13.9,24.0,57,9.7,23.4
12148,119716,11803,-,33447,51566,76143,99091,1.2,1.5,16.9,10.6,22.5,31.5,62.7,8.2,21.7
12149,61186,6053,22708,28542,26726,32250,56250,3.2,9.3,21.9,6.2,11.9,8.9,46,16.7,29.3
12150,73179,12835,-,-,44750,-,-,22.1,0.0,14.0,11.1,18.9,0.9,21.8,12.2,49.2
12151,101905,22327,63611,32500,36750,53333,70625,0.0,5.3,9.6,11.9,32.1,21.1,58,14.5,19.9
12153,85854,19553,-,-,-,-,123482,0.0,4.4,25.9,14.3,13.5,12.9,66.1,2.2,28.2
12154,78653,7866,37661,45763,46328,53750,53056,1.7,8.8,15.0,12.2,13.8,5.6,51.8,7.3,31.1
12155,57989,6986,43250,26953,21327,40167,50536,1.7,6.0,12.7,16.0,13.7,7.0,55.5,8.9,27.4
12156,92554,26985,40791,27656,50738,-,46786,0.0,12.7,32.1,20.2,9.3,18.4,58.4,8.9,32.1
12157,74184,8894,-,33864,36835,47847,78063,5.5,5.8,18.4,17.6,11.2,9.4,53.8,12.9,23.2
12158,101773,10593,15909,37692,54300,72656,68594,0.8,3.4,15.4,15.9,15.0,17.1,56.1,6.8,32.6
12159,138821,15211,36296,30577,41424,66042,93388,1.3,1.5,13.4,9.6,26.0,36.6,58,7.9,24.7
12160,83895,21975,56500,30313,46250,41964,67250,3.1,3.9,22.0,5.3,15.9,5.6,64.5,7,20.5
12161,82283,25732,-,-,-,-,-,0.0,0.0,0.0,75.3,16.5,0.0,13.9,7,79.1
12164,76205,20607,-,21308,46266,-,-,5.3,17.2,6.5,28.1,5.9,2.1,41.1,35.9,8.6
12165,83290,32122,-,46875,40313,-,-,0.0,1.5,37.7,0.0,7.7,27.7,57,12,29.1
12166,62374,8125,-,33472,32500,37917,-,6.0,8.1,19.0,13.2,10.9,6.6,50.3,8.9,26.3
12167,61046,5510,31111,27813,30000,30938,50938,4.7,8.8,17.9,11.5,13.7,6.3,45.3,9.5,31.9
12168,83771,13960,-,41550,36061,36750,60391,1.5,2.5,26.7,12.8,8.8,12.1,54.3,11.7,29.8
12169,106767,20241,-,46458,82596,-,-,0.0,7.0,10.4,28.9,15.9,12.9,38.5,2.3,52.9
12170,83063,8720,45833,32532,40640,54904,-,2.5,8.7,22.3,12.2,15.7,5.9,56.3,8,27.9
12172,41913,11981,-,25313,-,-,-,10.0,6.0,0.0,5.3,11.3,0.0,41.6,6.8,48
12173,79978,7303,21667,35000,47540,55625,68750,0.9,7.4,22.2,20.5,13.2,8.0,51,10.6,34.8
12174,75340,29747,-,26917,70000,-,66172,0.0,11.1,11.6,5.5,20.6,13.6,50.4,13.7,30.9
12175,60755,13803,"2,500-",-,-,41875,51607,2.1,8.8,20.1,11.2,17.4,8.3,43.5,13.5,27.6
12176,76703,18971,-,36038,38889,-,59000,0.0,7.3,4.8,2.5,11.8,11.8,33.9,16.8,43.4
12177,73743,22934,-,-,73125,-,-,0.0,3.6,27.3,28.1,10.5,2.0,55.8,16.3,18.8
12180,68946,3117,16646,32173,36297,48960,61712,3.5,6.3,18.5,13.6,18.0,13.2,34.6,9.4,48.3
12182,60629,4433,14533,27138,32708,45436,70982,2.9,10.3,18.6,15.1,12.2,5.3,39.9,11.4,40
12183,60806,6163,23590,30236,38725,50114,-,1.3,4.6,18.3,14.7,16.8,3.5,29.7,14.1,46.4
12184,91182,8791,31281,39500,30625,60000,74133,5.1,3.7,17.1,12.4,20.0,14.4,53.8,11.6,25.6
12185,99893,15045,-,25500,47500,51761,58750,1.1,4.4,21.3,20.1,15.5,8.7,58.3,6.5,23.3
12186,115492,8239,37143,45240,46000,62130,71250,1.2,2.2,13.6,13.0,27.5,24.2,59.5,6.8,26.5
12187,61743,10969,-,29025,-,51607,61389,1.5,1.5,17.1,6.3,11.4,19.8,49.6,16.9,20.9
12188,85948,6308,18676,33981,46331,50435,69482,2.4,5.3,19.8,15.6,20.3,9.1,48.9,9.4,34.6
12189,68694,4952,16750,31027,36976,50902,66048,3.7,6.2,17.5,12.5,19.9,10.7,39.1,10.1,42
12190,61565,12572,58390,17500,33547,53125,-,2.1,12.9,25.1,8.7,6.5,17.6,22.1,11.2,44.7
12192,101661,32329,19519,45208,43542,-,62137,3.2,11.7,14.2,14.3,11.2,12.6,52.6,8,32.6
12193,87753,14483,-,49583,62958,51016,58250,0.7,4.1,15.9,13.6,14.6,8.7,64.3,8.6,17.8
12194,61292,14279,-,-,61250,-,-,0.0,6.5,7.4,27.8,11.1,6.5,63.8,18.1,12.1
12195,32110,13670,-,-,-,-,-,0.0,9.1,33.9,7.4,31.4,4.1,41.2,20.6,11
12196,112948,17426,42455,45060,39655,50938,70774,1.3,4.1,14.6,10.3,17.4,21.1,59,6.3,26.7
12197,61199,5926,28594,28542,31444,31125,82955,3.6,12.3,15.4,14.7,12.2,11.0,55.6,11.6,23.9
12198,103896,9475,14063,30125,37472,57847,80054,2.5,4.2,22.0,14.5,20.9,13.9,58,5.5,29.8
12202,41472,3260,17368,22381,28409,40217,41635,3.0,11.6,22.2,8.8,11.0,9.5,19.9,10.6,60.6
12203,75922,4230,18375,34157,40105,46714,65549,2.4,3.0,15.5,11.2,23.9,24.9,31.2,9.3,51.9
12204,71571,11466,23750,40093,37953,48833,66071,3.0,6.4,14.7,8.4,31.1,22.3,32.5,16.4,43.6
12205,75340,3405,25324,29632,42599,51138,60593,3.7,5.8,20.3,13.2,17.9,12.5,45.5,10.8,34.1
12206,48686,4928,17021,27018,31496,36875,45648,4.1,14.1,17.0,10.4,9.6,7.4,23.4,7.8,61.8
12207,24597,5081,16190,11771,6716,-,51607,8.9,13.2,17.2,4.7,9.3,10.5,12.2,12,58.2
12208,78135,4488,22708,35591,43003,42302,59923,3.2,2.3,16.5,7.1,26.1,26.8,33.7,7.8,51.6
12209,64274,6048,13750,26097,32310,46622,56507,4.0,9.3,17.4,9.8,17.1,15.2,31,12.7,48.2
12210,67865,9498,37587,26794,32143,46991,61014,1.7,6.3,18.3,5.1,27.2,16.0,17.2,5,72.3
12211,132962,11538,30662,43185,46563,64132,83217,2.1,3.0,12.2,10.3,25.0,27.7,53.1,8.3,28.6
12222,-,**,-,-,"2,500-",-,-,0.0,0.0,62.9,37.1,0.0,0.0,0.8,0,99.2
12302,84522,4078,26068,32540,36464,55441,69773,1.4,2.8,18.1,16.0,20.3,15.6,49.6,11.3,30
12303,84849,4831,23701,25749,35203,51744,75882,2.3,6.2,19.3,12.4,16.9,12.5,47.9,11,32.6
12304,63697,4686,22761,22933,29961,47403,61875,5.1,10.5,17.4,11.7,14.0,7.5,41.1,9.3,37.9
12305,42550,4715,"2,500-",18690,33269,46094,56522,4.7,12.6,17.4,10.6,11.6,15.1,14.5,12.4,64.7
12306,73938,3446,21862,31122,37057,49335,57381,3.0,5.4,18.3,15.1,15.5,9.2,43.6,12.5,34.9
12307,35333,4353,21944,21694,36563,-,33182,11.5,14.1,17.6,7.0,9.4,2.7,26.2,11.6,49
12308,60690,3619,24899,27690,35833,47609,51488,5.9,7.6,14.3,10.5,20.7,10.4,30.2,11.1,51.6
12309,120865,6535,33015,33973,47238,60944,84185,2.0,1.8,12.3,11.2,25.0,28.8,56.7,9.6,25.8
12401,66847,2758,22083,27318,32151,41417,65682,3.9,9.4,17.7,9.9,14.8,12.6,40.8,12.5,36.2
12404,127919,37059,51012,26091,20339,118100,-,1.0,4.9,21.9,5.9,20.9,11.6,42.6,15.2,31.9
12405,60477,18901,-,13885,-,-,-,0.9,1.9,23.6,13.0,22.2,3.5,56.4,12.4,24.1
12406,77404,39829,8750,40888,-,70125,-,1.8,6.2,23.2,10.6,18.4,8.2,40.5,24.6,29.4
12407,66467,32158,-,"2,500-",-,38750,-,4.7,5.8,19.9,4.7,19.9,14.6,50.8,6.8,35.1
12409,114548,29103,42841,6750,52059,95139,32059,0.9,2.5,14.7,2.3,29.7,39.8,54.2,16.2,24.9
12410,70595,19077,-,25625,45729,-,-,0.0,0.0,22.6,7.8,21.5,7.8,55.2,17.6,18.4
12411,73216,12800,-,-,-,-,-,0.0,1.6,15.3,6.5,16.1,27.0,72.7,6.6,19.2
12412,70549,26148,-,-,-,-,-,18.4,0.0,30.9,0.0,16.9,0.0,51.6,6.9,14.7
12413,55566,9225,21534,36250,34219,43786,53466,2.4,24.8,21.8,15.1,9.4,5.3,41,16.2,38
12414,59652,6086,16875,25395,40400,36855,55417,5.4,9.9,14.2,10.3,11.5,7.3,42.7,11.1,36.1
12416,27471,8728,-,-,-,-,-,12.3,0.0,18.5,0.0,0.0,32.1,59.8,0,40.2
12417,63903,21370,25956,43750,-,-,-,6.0,18.4,17.4,0.0,0.0,0.0,32.2,17.7,42.1
12418,80559,25112,-,35450,44063,-,61250,0.0,6.9,13.5,27.0,15.7,6.9,45.1,4.9,46.9
12419,55713,15672,-,36164,-,70172,84479,0.0,4.6,13.3,12.5,24.8,11.1,24.6,17.4,42.6
12420,103183,37109,-,-,-,-,96250,0.0,11.4,2.8,0.0,32.0,35.9,53.1,15.9,25.9
12421,73794,23850,7132,-,25781,33417,-,0.0,21.3,32.8,0.0,21.6,5.2,64.9,18.7,14.6
12422,108643,27951,-,51333,61161,-,71667,4.0,0.0,11.4,17.8,15.4,18.5,63.2,0,30.1
12423,66818,14712,-,47500,23712,37083,-,1.5,6.4,16.0,13.1,11.1,10.9,43.4,11.8,32
12424,75188,17933,-,-,-,-,-,5.1,0.0,19.8,12.4,29.0,18.9,50.9,7.1,19.5
12427,134799,82828,-,72553,22344,31310,-,0.0,0.0,17.6,8.4,27.8,15.3,46.1,1.4,47.9
12428,56036,7293,29792,32008,37432,26554,48750,11.8,8.3,23.6,6.3,10.9,5.1,40.3,10.4,39.8
12429,89709,43520,-,-,-,-,-,0.0,4.8,5.4,16.3,22.9,5.4,61.2,13.4,25.4
12430,63626,7997,35417,27716,36899,30750,58750,1.6,3.4,16.9,13.1,13.1,18.3,55.6,14.4,14.8
12431,51594,9928,-,31458,-,49464,21347,0.0,2.5,19.3,7.2,10.6,24.9,50.1,10.4,33.3
12432,46347,12103,-,-,21667,-,-,6.9,17.0,24.5,4.3,9.6,0.0,51.2,8.1,32.7
12433,137012,35010,-,-,-,25586,-,0.0,0.0,8.8,10.9,31.4,41.6,72.1,3.9,16.8
12434,43795,10413,-,-,26681,-,55536,2.8,13.8,22.5,9.3,3.4,7.7,40.9,10,34.1
12435,61810,18894,-,19750,20833,14073,-,0.0,3.1,19.5,12.1,15.2,7.4,51.1,15.4,24.8
12436,76618,44093,-,-,-,-,-,0.0,0.0,0.0,24.4,0.0,17.9,0,24.4,57.7
12438,N,N,-,-,-,-,-,31.6,0.0,0.0,23.7,23.7,21.1,100,0,0
12439,55278,9994,20341,21853,20104,-,-,9.0,1.4,22.7,7.6,9.7,9.4,45.7,3.5,34.4
12440,75333,14457,-,18535,31959,50882,55345,2.5,4.9,21.4,10.6,14.9,17.0,48.7,8.8,35.2
12441,N,N,-,-,-,-,-,0.0,0.0,0.0,0.0,32.0,68.0,100,0,0
12442,58620,29026,10938,19083,24911,-,105368,0.0,4.7,18.2,10.3,22.2,22.0,36,10.2,29.9
12443,108256,19065,43026,27083,37750,54028,76250,2.2,2.3,21.4,10.0,20.4,21.1,54.8,11.7,24.3
12444,64182,14834,-,-,-,20147,92981,0.8,0.0,15.9,13.3,15.1,13.5,52,6.1,28.9
12446,68216,9147,15824,30590,24630,48167,36458,0.8,9.7,24.7,9.3,12.1,8.1,48.9,12.8,27.8
12448,218956,107072,-,-,42298,-,60833,0.0,0.0,14.5,6.4,34.6,29.3,72,8.3,9.5
12449,70452,13226,24167,24621,32478,42639,40547,5.3,5.6,19.8,10.3,13.9,8.5,48.6,9.1,29.5
12450,N,N,-,-,-,-,-,0.0,0.0,0.0,9.9,40.4,0.0,100,0,0
12451,73735,12752,-,41563,36076,-,54659,0.7,16.0,11.2,22.6,12.0,4.8,61.3,4.9,28.6
12452,39872,10835,-,12404,-,-,22000,0.0,16.4,16.9,0.0,8.2,11.9,65.7,6.7,18.5
12453,38774,5932,-,18430,-,-,-,14.8,0.0,0.0,0.0,0.0,0.0,39.2,10.1,25.4
12454,72374,15970,-,31298,34712,71705,-,1.7,9.5,14.9,5.4,11.2,8.3,47.2,3.7,39.8
12455,49831,10051,"2,500-",13309,39141,-,81289,8.7,11.6,15.7,12.7,13.5,11.3,49.2,10.4,22.6
12456,59564,14190,32273,31806,25000,-,-,4.1,19.0,10.5,10.9,6.0,2.7,61,1.6,34.6
12457,65219,28324,30750,47545,36250,22566,-,2.5,13.8,3.6,13.6,18.6,21.2,52.1,23.2,22.3
12458,64191,8910,45759,28393,32292,36548,-,2.6,10.6,16.9,10.4,12.3,5.9,42.8,12.6,36.1
12459,60113,36539,-,-,-,-,-,0.0,17.7,12.0,0.0,0.0,27.8,58.9,17.1,0
12460,36453,10432,-,18056,-,-,-,0.0,8.4,7.9,5.1,0.0,0.0,27.9,6.5,60.5
12461,76986,12762,18922,26250,37333,36103,74148,3.0,6.9,16.6,11.9,21.6,21.5,50.8,18.3,27.1
12463,86236,17297,-,34375,41371,36307,76694,3.0,2.9,13.9,15.5,25.8,10.9,50.3,6.6,40.3
12464,63248,22667,-,27644,-,-,73911,0.0,3.5,17.6,2.5,20.9,20.1,39.4,17.3,33.1
12465,73546,19136,-,46500,20735,31827,-,0.0,2.9,24.8,5.8,20.9,18.0,47.2,15.9,26.6
12466,86413,9996,24112,29464,36604,52308,93750,0.2,6.0,24.6,15.7,14.9,11.2,48.9,11,28.8
12468,65020,15624,-,32059,30769,31000,73750,4.4,6.0,18.1,8.1,9.9,9.3,56.1,5.5,26.5
12469,62107,7772,-,32115,34167,29821,36563,9.6,5.8,9.4,9.4,8.5,7.3,49.9,15.2,27.2
12470,55923,13857,-,-,41667,-,63261,0.0,1.8,15.1,5.3,19.6,32.0,41.4,12.3,41.4
12471,54191,40660,-,-,-,-,-,0.0,17.6,24.3,20.3,0.0,0.0,32.2,17.2,50.6
12472,58343,9417,32308,36350,29598,33583,65263,1.2,4.7,27.5,17.7,15.1,7.2,35.1,12.6,46.8
12473,73928,15374,-,37563,24257,46932,63788,0.0,0.0,22.2,7.5,23.9,16.5,55.6,2,33
12474,56407,9646,-,25265,25962,59688,58214,0.5,5.9,18.8,8.1,19.0,11.4,52.4,7.2,32.5
12475,66832,31860,-,36375,-,-,-,0.0,0.0,36.7,5.1,0.0,6.3,24.9,24.3,45.1
12477,72667,3252,22604,27922,32520,46000,63438,2.3,6.4,22.9,11.2,15.1,11.0,46.2,10.5,33.1
12480,64405,14384,-,-,19830,-,36250,1.8,11.0,11.0,9.5,15.6,7.5,49.6,18.2,26.7
12481,71464,16174,-,38295,16591,36523,53875,2.7,14.0,19.2,8.3,19.2,14.4,55.5,5.9,28.1
12482,47620,9232,-,-,-,-,-,0.0,36.8,0.0,16.2,2.5,0.0,37.5,8.5,33.7
12483,53791,26194,-,20536,-,-,-,11.9,4.4,22.2,27.0,0.0,15.9,43.7,13.1,8.3
12484,70661,9157,-,42083,43070,41406,57563,3.3,4.4,15.0,8.7,20.4,24.4,51.4,13.2,24.9
12485,66701,10331,-,30864,-,-,80313,0.0,3.7,31.6,4.9,13.2,8.7,45.6,6.7,35.3
12486,106251,20359,-,40532,34583,75250,84063,0.0,2.8,20.3,9.3,28.7,16.2,56.4,6.7,30.9
