Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
56051,61002,4995,-,35875,33393,50938,67813,1.0,1.4,21.5,9.9,20.3,3.0,58.2,11,22.2
56052,79835,7821,13750,30375,40417,55938,60313,1.9,4.1,19.5,11.5,15.1,3.6,65.2,5.8,26.1
56054,91518,14097,10625,40521,40250,35000,42250,0.6,2.6,22.7,18.1,12.3,4.4,66.9,8,21.1
56055,81942,8097,31628,36042,40327,46910,61111,0.8,5.4,22.7,13.1,20.0,5.3,63,9.3,20.4
56056,76506,22557,-,40313,37083,31250,-,6.9,10.3,31.0,1.7,5.2,3.4,57.8,6.3,34.4
56057,68596,4416,33295,35321,41172,48958,46528,5.4,6.7,19.4,11.0,13.3,4.3,53.3,10.3,28.1
56058,73192,4354,28750,31897,36429,46484,67292,3.8,6.0,23.0,15.1,19.2,3.9,55.4,10.3,26.6
56060,64770,10382,-,31528,28750,37188,44167,0.7,8.3,22.8,13.4,6.6,3.4,59.4,12.1,20.4
56062,70510,7310,35179,24853,32829,44167,60000,7.5,7.5,19.6,10.8,14.6,5.5,52.7,7.2,28
56063,96237,7771,-,33125,36932,46161,74750,0.9,1.8,23.9,10.9,24.4,11.4,59.1,10,25.1
56065,66027,4389,-,29511,34076,45556,45000,3.3,5.1,21.4,14.0,16.0,6.2,56.8,10.1,24.9
56068,73476,6478,-,30694,32917,48750,-,2.1,3.4,31.2,13.4,12.6,3.1,62.6,11,22.4
56069,72991,3613,43036,41104,41176,44833,63661,1.7,9.7,26.1,12.4,10.0,2.3,53.5,7.8,33.5
56071,94912,4556,30278,37342,43810,58288,63534,1.3,3.6,20.1,14.1,22.7,9.9,60.3,8.4,25.5
56072,65617,4697,31071,30547,37083,51250,50417,1.0,4.4,22.5,14.9,13.9,3.9,58.6,11.6,22.9
56073,73825,4999,25658,30893,37914,44760,54295,2.7,4.2,22.4,12.6,16.4,6.0,56.6,8.3,28.4
56074,83819,6178,-,36094,36771,45833,56250,1.3,3.4,20.8,14.8,15.7,5.5,69.1,7,21.6
56075,54472,12920,-,37188,30417,50417,-,0.0,4.0,23.2,14.1,12.1,0.0,47.9,17.6,26.9
56078,83336,18416,11250,42500,41250,53125,-,1.8,4.6,20.2,19.6,9.2,3.1,52.3,9.2,32.6
56080,75187,9881,50833,41477,34519,52563,72292,2.4,3.0,18.8,14.3,20.3,6.5,50.5,11.1,35.4
56081,62380,5127,31220,30263,35145,43095,61250,9.7,7.5,14.9,9.7,11.3,3.0,51.2,9.1,31.8
56082,71081,4292,26349,30696,35835,42402,64013,4.7,5.2,19.3,10.9,19.9,13.3,44,7.8,43.5
56083,69573,10175,25750,29167,31786,50682,51667,0.8,8.0,20.0,12.5,13.4,1.8,72.7,4.9,15.4
56085,65892,3960,20078,31466,35465,36607,54821,7.1,4.7,20.7,10.5,15.5,3.4,60.5,8.1,24.1
56087,63608,4368,22614,31198,30772,46563,54375,4.6,4.8,27.5,9.1,8.6,4.1,57.2,10.4,22.3
56088,63846,4553,18750,31842,35815,38333,42188,2.3,8.3,23.1,16.5,10.5,4.6,59.7,7.5,22.8
56089,46383,8336,-,28125,35000,-,-,3.1,9.2,19.8,5.3,6.1,0.8,41.7,23.6,24.3
56090,70836,7379,53500,34107,41118,36250,64750,2.0,2.8,22.3,14.6,11.8,4.8,57.1,12.3,23.6
56091,59319,9966,-,33750,40375,37500,42500,2.1,5.4,16.3,10.5,15.9,2.9,67.4,8.7,18.9
56093,64108,3044,25000,25934,36228,45469,51389,3.6,4.6,24.7,12.9,13.5,5.8,52.7,9.7,30.4
56096,70042,6318,35446,27500,37986,52361,54375,2.5,5.7,19.8,11.4,13.6,6.7,59.7,9.1,23.7
56097,58400,3330,20500,31511,31968,36172,51250,6.3,7.9,22.6,11.2,14.4,3.2,61.1,7.3,21.5
56098,64714,5685,25268,31382,36708,41563,62917,3.1,5.2,21.9,13.1,9.7,3.6,57.9,11.3,21.4
56101,63556,4693,22083,28429,27642,51204,62813,4.6,5.0,23.8,9.5,16.1,6.5,58.5,11,23.2
56110,78561,8468,35938,25875,33472,40625,49464,4.5,2.8,23.7,11.2,10.1,3.5,60,6.8,25.1
56111,94028,13879,-,42917,40000,36875,67500,0.0,3.9,22.5,18.3,13.7,4.6,65.7,7.1,18.4
56113,73673,17490,2917,36875,36875,68750,-,3.2,5.1,29.7,5.7,12.7,3.2,67.4,6.9,22.3
56114,58845,10551,-,34167,40625,48750,53750,1.4,6.2,23.7,8.5,8.5,5.7,64,12.3,21.6
56115,71952,6526,39583,27500,32321,40682,61250,1.5,4.2,19.4,14.7,16.9,3.8,62.7,7.1,23.4
56116,70669,7258,40208,36875,28750,54167,82188,1.3,4.1,23.7,19.8,14.7,3.0,68.6,5.2,22.9
56117,76478,15744,31250,36875,33750,31250,-,3.3,14.4,24.3,21.4,7.4,2.5,67.3,10.8,20.5
56118,77807,10587,-,25000,34375,-,73750,2.1,2.8,26.3,12.3,16.1,4.6,68.3,3.2,25.8
56119,78357,8779,40556,31875,43854,42813,68750,6.4,6.1,26.9,13.6,11.6,2.1,58.3,9.9,26.8
56120,65499,7975,24808,26875,31875,41250,63125,12.6,8.7,14.4,9.2,12.6,1.4,57.6,7.8,27.4
56121,62800,8310,18864,36923,37708,29821,-,2.0,7.8,24.7,14.3,11.1,2.0,57.5,9.2,23.8
56122,65225,6813,19125,35625,26667,36250,65179,12.9,5.7,15.5,8.6,8.8,6.4,64.1,5.4,24.4
56123,66475,7377,31875,25125,35313,36250,53750,2.8,5.7,20.2,12.8,12.0,3.4,62.7,13.7,17.4
56125,36472,15791,-,18750,24375,-,-,23.7,0.0,30.5,10.2,3.4,0.0,54.2,23.7,11.9
56127,60732,10284,16944,33750,33750,30781,71250,1.9,7.4,26.4,10.0,17.1,3.0,59.4,8.3,24
56128,75512,8539,28889,28125,30878,40446,74063,6.2,6.8,23.5,7.4,18.0,7.1,67.1,5.8,17.3
56129,59464,10264,13942,30833,30000,41429,31250,10.3,10.0,20.3,12.3,14.4,2.7,56.9,8.2,20.9
