Zip Code,Lat,Lng
01879,42.66,-71.43
01880,42.5,-71.07
01886,42.59,-71.44
01887,42.57,-71.17
01890,42.45,-71.15
01901,42.462,-70.946
01902,42.47,-70.94
01904,42.49,-70.97
01905,42.47,-70.97
01906,42.47,-71.01
01907,42.48,-70.91
01908,42.44,-70.92
01913,42.85,-70.95
01915,42.57,-70.86
01921,42.68,-71.03
01922,42.76,-70.92
01923,42.58,-70.96
01929,42.64,-70.78
01930,42.63,-70.69
01937,42.58,-70.95
01938,42.7,-70.8
01940,42.54,-71.03
01944,42.58,-70.76
01945,42.51,-70.84
01949,42.6,-71.01
01950,42.81,-70.87
01951,42.76,-70.85
01952,42.85,-70.86
01960,42.53,-70.97
01966,42.66,-70.61
01969,42.72,-70.89
01970,42.52,-70.91
01982,42.63,-70.86
01983,42.64,-70.94
01984,42.6,-70.87
01985,42.79,-70.97
02019,42.08,-71.47
02021,42.18,-71.12
02025,42.23,-70.82
02026,42.25,-71.18
02030,42.24,-71.29
02032,42.15,-71.22
02035,42.06,-71.23
02038,42.09,-71.41
02043,42.22,-70.88
02045,42.31,-70.89
02047,42.136,-70.691
02048,42.02,-71.22
02050,42.1,-70.7
02052,42.18,-71.31
02053,42.16,-71.43
02054,42.17,-71.36
02056,42.12,-71.33
02061,42.15,-70.82
02062,42.18,-71.2
02066,42.21,-70.77
02067,42.11,-71.19
02071,42.1,-71.27
02072,42.12,-71.1
02081,42.15,-71.26
02090,42.22,-71.2
02093,42.05,-71.37
02108,42.358,-71.064
02109,42.363,-71.054
02110,42.359,-71.054
02111,42.351,-71.061
02113,42.365,-71.055
02114,42.363,-71.066
02115,42.34,-71.1
02116,42.35,-71.08
02118,42.34,-71.07
02119,42.32,-71.08
02120,42.33,-71.1
02121,42.31,-71.08
02122,42.29,-71.05
02124,42.29,-71.07
02125,42.32,-71.0
02126,42.28,-71.09
02127,42.33,-71.04
02128,42.37,-71.02
02129,42.38,-71.06
02130,42.31,-71.12
02131,42.28,-71.12
02132,42.28,-71.16
02134,42.36,-71.13
02135,42.35,-71.15
02136,42.25,-71.13
02138,42.38,-71.13
02139,42.36,-71.1
02140,42.39,-71.13
02141,42.37,-71.08
02142,42.36,-71.08
02143,42.38,-71.1
02144,42.4,-71.12
02145,42.39,-71.09
02148,42.43,-71.05
02149,42.41,-71.05
02150,42.4,-71.03
02151,42.42,-71.0
02152,42.37,-70.97
02155,42.42,-71.11
02163,42.369,-71.125
02169,42.24,-71.01
02170,42.27,-71.02
02171,42.29,-71.01
02176,42.46,-71.06
02180,42.47,-71.1
02184,42.2,-71.01
02186,42.24,-71.08
02188,42.21,-70.96
02189,42.21,-70.93
02190,42.17,-70.95
02191,42.25,-70.94
02199,42.347,-71.083
02203,42.361,-71.06
02210,42.35,-71.04
02215,42.34,-71.1
02301,42.08,-71.04
02302,42.09,-71.0
02322,42.13,-71.05
02324,41.97,-70.98
02330,41.9,-70.8
02332,42.05,-70.71
02333,42.03,-70.94
02338,41.99,-70.86
02339,42.12,-70.85
02341,42.06,-70.87
02343,42.14,-71.01
02346,41.9,-70.9
02347,41.84,-70.97
02351,42.12,-70.96
02356,42.06,-71.12
02357,42.06,-71.08
02359,42.06,-70.8
02360,41.9,-70.6
02364,41.98,-70.75
02366,41.843,-70.744
02367,41.97,-70.81
02368,42.17,-71.06
02370,42.13,-70.91
02375,42.02,-71.11
02379,42.02,-71.02
02382,42.08,-70.94
02420,42.46,-71.22
02421,42.44,-71.23
02445,42.32,-71.13
02446,42.34,-71.12
02451,42.4,-71.26
02452,42.39,-71.22
02453,42.37,-71.23
02457,42.31,-71.27
02458,42.35,-71.19
02459,42.31,-71.19
02460,42.35,-71.21
02461,42.31,-71.21
02462,42.33,-71.26
02464,42.313,-71.22
02465,42.35,-71.23
02466,42.35,-71.25
02467,42.32,-71.16
02468,42.33,-71.23
02472,42.37,-71.18
02474,42.42,-71.16
02476,42.42,-71.18
02478,42.4,-71.18
02481,42.32,-71.26
02482,42.29,-71.3
02492,42.28,-71.25
02493,42.36,-71.3
02494,42.3,-71.22
02532,41.73,-70.59
02534,41.67,-70.61
02535,41.3,-70.7
02536,41.6,-70.56
02537,41.73,-70.43
02538,41.78,-70.65
02539,41.39,-70.53
02540,41.57,-70.63
02542,41.66,-70.57
02543,41.53,-70.67
02553,41.72,-70.613
02554,41.3,-70.1
02556,41.64,-70.63
02557,41.454,-70.562
02558,41.742,-70.662
02559,41.69,-70.62
02561,41.774,-70.541
02562,41.79,-70.53
02563,41.72,-70.48
02564,41.262,-69.965
02568,41.41,-70.63
02571,41.8,-70.7
02575,41.4,-70.64
02576,41.77,-70.76
02584,41.285,-70.099
02601,41.66,-70.3
02630,41.7,-70.3
02631,41.75,-70.07
02632,41.66,-70.35
02633,41.6,-70.0
02635,41.62,-70.44
02637,41.7,-70.272
02638,41.73,-70.2
02639,41.67,-70.14
02641,41.744,-70.161
02642,41.84,-69.98
02643,41.785,-69.97
02644,41.7,-70.52
02645,41.7,-70.06
02646,41.67,-70.07
02647,41.632,-70.302
02648,41.67,-70.42
02649,41.61,-70.49
02650,41.7,-69.97
02651,41.866,-69.985
02652,42.02,-70.09
02653,41.7,-70.0
02655,41.63,-70.39
02657,42.05,-70.18
02659,41.68,-70.02
02660,41.71,-70.15
02663,41.915,-70.0267
02664,41.66,-70.19
02666,42.02,-70.08
02667,41.93,-70.02
02668,41.71,-70.34
02669,41.682,-69.991
02670,41.67,-70.17
02671,41.67,-70.11
02672,41.638,-70.327
02673,41.65,-70.24
02675,41.71,-70.23
02702,41.78,-71.06
02703,41.94,-71.29
02713,41.5,-70.8
02715,41.82,-71.15
02717,41.75,-70.97
02718,41.87,-71.02
02719,41.63,-70.87
02720,41.72,-71.1
02721,41.65,-71.15
02723,41.69,-71.13
02724,41.69,-71.18
02725,41.72,-71.18
02726,41.76,-71.15
02738,41.72,-70.76
02739,41.66,-70.81
02740,41.64,-70.94
02743,41.71,-70.9
02744,41.61,-70.92
02745,41.7,-70.94
02746,41.67,-70.94
02747,41.7,-71.0
02748,41.56,-70.98
02760,41.97,-71.32
02762,42.02,-71.33
02763,41.96,-71.31
02764,41.85,-71.16
