Zip Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Total No HS Diploma,Total HS Diploma,Total Some College,Total College Degrees,Degree Rate,Average Student Debt,Total educational attainment over 25,Lat,Lng
16230,562,34.9,41471,17501,95,16.90391459,47,204,40,57,16.37931034,,348,41.07,-79.28
46144,131,59.2,71250,24602,10,7.633587786,28,47,22,19,16.37931034,,116,39.66,-85.7
52221,171,29.7,51750,21994,6,3.50877193,6,66,25,19,16.37931034,,116,41.64,-92.32
68774,343,52.8,19464,24075,83,24.19825073,50,145,45,47,16.37630662,,287,42.81,-97.31
31795,2431,28.3,46046,17507,470,19.33360757,264,614,317,234,16.37508747,,1429,31.48,-83.68
8064,171,79.5,0,9578,0,0,33,93,17,28,16.37426901,,171,39.96,-74.65
45120,2964,41.8,48438,22714,468,15.78947368,449,842,420,335,16.37341153,,2046,38.8,-84.1
14753,978,41.7,32708,17519,127,12.98568507,87,358,122,111,16.37168142,,678,42.1,-78.6
30450,2259,34.7,31356,16262,836,37.00752545,312,571,343,240,16.37107776,,1466,32.56,-81.94
74085,2368,43,45500,23406,475,20.05912162,265,857,237,266,16.36923077,,1625,36.1,-96.7
63845,5775,36.4,31098,16247,1350,23.37662338,1173,1540,470,623,16.36889122,,3806,36.7,-89.3
92356,6504,45.3,31662,16137,1508,23.18573186,738,1633,1548,767,16.3679044,,4686,34.5,-116.9
25601,5517,43.1,39469,21766,1251,22.67536705,938,1574,881,664,16.36677348,,4057,37.8,-82
37713,1216,47.3,31094,17906,330,27.13815789,127,495,206,162,16.36363636,,990,36.11,-83.12
62950,226,52.8,20000,15279,63,27.87610619,30,91,17,27,16.36363636,,165,37.76,-89.56
65461,99,33.4,41111,17954,44,44.44444444,0,31,15,9,16.36363636,,55,37.68,-92.03
37026,2134,40.6,32269,28431,391,18.32239925,470,547,215,241,16.36116768,,1473,35.7,-86.11
40949,615,42.8,46250,26508,129,20.97560976,92,201,70,71,16.359447,,434,36.9,-83.87
36110,12760,33.6,31281,14954,3922,30.73667712,2166,2986,1624,1325,16.35600543,,8101,32.45,-86.25
72947,5047,38.6,38381,16736,1422,28.17515356,709,1544,463,531,16.35355713,,3247,35.6,-94
62082,2927,42.3,41891,20019,441,15.06662111,326,937,471,339,16.35311143,,2073,39.5,-90.3
15646,199,51.2,25568,14568,10,5.025125628,44,68,21,26,16.35220126,,159,40.09,-79.35
93628,240,48.4,58977,21629,41,17.08333333,29,34,70,26,16.35220126,,159,37.2,-118.7
36442,4263,38,29646,16466,940,22.05019939,651,1036,789,484,16.35135135,,2960,31.1,-86.4
33973,12837,24.5,32323,11423,4039,31.46373763,2068,1926,1286,1032,16.34980989,,6312,26.6,-81.74
55950,130,54,46250,19107,7,5.384615385,17,49,21,17,16.34615385,,104,43.7,-93
76268,201,25.4,48203,18107,32,15.92039801,11,50,26,17,16.34615385,,104,33.8,-96.9
70546,16119,35.9,41711,21222,2741,17.00477697,2394,4499,1702,1679,16.34222309,,10274,30.3,-92.7
43326,13399,39.6,39402,20389,2142,15.98626763,1198,4816,1496,1467,16.34176228,,8977,40.6,-83.6
